GOLIATH,STEVE ALTEN,,MYSTERY/THRILLER,10/14/17,10/14/17,,THE WHOLE EARTH QUIZ BOOK,,,
HELL'S AQUARIUM,STEVE ALTEN,,MYSTERY/THRILLER,12/2/17,12/2/17,,THE ELEGANT UNIVERSE,,,
RESURRECTION,STEVE ALTEN,,MYSTERY/THRILLER,12/2/17,2/10/18,,ENGINEERING MANAGEMENT: CHALLENGES IN THE NEW MILLENNIUM,,,
A COLUMBUS AFFAIR,STEVE BERRY,,MYSTERY/THRILLER,12/2/17,2/10/18,,THE PROCESS ENGINEER'S POCKET HANDBOOK,,,
DIRTY POOL,STEVE BREWER,,MYSTERY/THRILLER,3/4/17,3/4/17,,THE ORIGIN OF THE SPECIES,,,
THE ATTORNEY,STEVE MARTINI,,MYSTERY/THRILLER,12/2/17,12/2/17,,TECHNICALLY SPEAKING,,,
THE LIST,STEVE MARTINI,,MYSTERY/THRILLER,12/2/17,12/2/17,,HTML: THE DEFINITIVE GUIDE,,,
THE RULE OF NINE,STEVE MARTINI,,MYSTERY/THRILLER,9/15/18,10/13/18,,LIFE WITHOUT LIMITS,,,
THE PAWN,STEVEN JAMES,,MYSTERY/THRILLER,2/13/19,2/13/19,,KISS MY MATH,,,
THE PAWN,STEVEN JAMES,,MYSTERY/THRILLER,9/15/18,10/13/18,,KISS MY MATH: SHOWING PRE-ALGEBRA WHO'S BOSS,,,
THE GIRL WHO PLAYED WITH FIRE,STIEG LARSSON,,MYSTERY/THRILLER,12/7/19,12/7/19,,THE LANGUAGE OF MEDICINE,,,
THE GIRL WITH THE DRAGON TATTOO,STIEG LARSSON,,MYSTERY/THRILLER,12/7/19,1/25/20,,JAVASCRIPT: THE DEFINITIVE GUIDE,,,
CHEIFS,STUART WOODS,,MYSTERY/THRILLER,11/9/19,,,DREAMWEAVER 8,,,
COLD PARADISE,STUART WOODS,,MYSTERY/THRILLER,11/9/19,,,SOCIAL PROBLEMS,,,
DEEP LIE,STUART WOODS,,MYSTERY/THRILLER,10/31/15,11/7/15,,PROGRAMMING WITH MICROSOFT VISUAL BASIC 2008,,,
WHITE CARGO,STUART WOODS,,MYSTERY/THRILLER,11/9/19,11/9/19,,"CULTURE AS GIVEN, CULTURE AS CHOICE",,,
DEADBEAT,SUE CRAFTON,,MYSTERY/THRILLER,11/9/19,1/25/20,,THE SCIENCE BENEATH THE SURFACE - A VERY SHORT GUIDE TO THE MARCELLUS SHALE,,,
H IS FOR HOMICIDE,SUE GRAFTON,,MYSTERY/THRILLER,11/9/19,,,MATHEMATICS,,,
THE SATAPUR MOONSTONE,SUJATA MASSEY,,MYSTERY/THRILLER,9/14/19,9/14/19,,HTML FOR DUMMIES,,,
PRINCESS ELIZABETH'S SPY,SUSAN ELIA MACNEAL,,MYSTERY/THRILLER,12/7/19,1/25/20,,"HTML FOR THE WORLD WISE WEB: TEACH YOURSELF HTML, XHTML, AND CSS",,,
BEHIND THE BADGE,SUSAN SLEEMAN,,MYSTERY/THRILLER,11/9/19,11/9/19,,GARBAGE LAND ON THE SECRET TRAIL OF TRASH,,,
INTO THE STORM,SUZANNE BROCKMANN,,MYSTERY/THRILLER,4/3/16,9/17/16,,THE DENIAL OF DEATH,,,
DARK FIELDS,T. J. MACGREGOR,,MYSTERY/THRILLER,10/31/19,,,TABER'S CYCLOPEDIC MEDICAL DICTIONARY,,,
DUST TO DUST,TAMI HOAG,,MYSTERY/THRILLER,10/31/15,12/6/15,,UNIVERSITY PHYSICS,,,
GUILTY AS SIN,TAMI HOAG,,MYSTERY/THRILLER,10/31/19,,,LIFE ITSELF: IT'S ORIGIN AND NATURE,,,
RED DRAGON,THOMAS HARRIS,,MYSTERY/THRILLER,10/14/17,10/14/17,,GROSS ANATOMY IN THE PRACTICE OF MEDICINE,,,
RED DRAGON,THOMAS HARRIS,,MYSTERY/THRILLER,10/31/19,,,STATISTICS FOR THE BEHAVIORAL SCIENCES,,,
BREAKING POINT,TOM CLANCY,,MYSTERY/THRILLER,12/2/17,12/2/17,,CHEMISTRY IN CONTEXT LABORATORY MANUAL,,,
NIGHT MOVES,TOM CLANCY,,MYSTERY/THRILLER,12/2/17,12/2/17,,DIALOGUES CONCERNING TWO NEW SCIENCES,,,
SSN,TOM CLANCY,,MYSTERY/THRILLER,3/4/17,3/4/17,,SIDEREUS NUNCIUS OR THE SIDEREAL MESSENGER,,,
THE HUNT FOR RED OCTOBER,TOM CLANCY,,MYSTERY/THRILLER,12/2/17,10/13/18,,CHILTON'S GUIDE TO USING AND MAINTAINING HOME VIDEO CAMERAS AND EQUIPMENT,,,
THE INHERITANCE,TOM SAVAGE,,MYSTERY/THRILLER,12/2/17,12/2/17,,THE MATURE MIND: THE POSITIVE POWER OF THE AGING BRAIN,,,
DANCE HALL OF THE DEAD,TONY HILLERMAN,,MYSTERY/THRILLER,11/9/19,1/25/20,,TEACH YOURSELF BEGINNING PROGRAMMING IN 24 HOURS,,,
DANCE HALL OF THE DEAD,TONY HILLERMAN,,MYSTERY/THRILLER,12/7/19,,,MEDICAL ETHICS: ACCOUNTS OF GROUND-BREAKING CASES,,,
THE WAILING WIND,TONY HILLERMAN,,MYSTERY/THRILLER,11/9/19,1/25/20,,"THE SOCIOLOGY OF HEALTH, HEALING, AND ILLNESS",,,
FOUCAULT PENDULUM,UMBERO ECO,,MYSTERY/THRILLER,12/7/19,,,THE PHILOSOPHY OF SPACE AND TIME,,,
EYE OF THE STORM,V. C. ANDREWS,,MYSTERY/THRILLER,10/31/19,,,SYMMETRY,,,
EYE OF THE STORM,V. C. ANDREWS,,MYSTERY/THRILLER,12/2/17,4/20/19,,LIFE IN A TECHNOCRACY,,,
FLOWERS IN THE ATTIC,V. C. ANDREWS,,MYSTERY/THRILLER,11/9/19,,,THE GOLEM AT LARGE: WHAT YOU SHOULD KNOW ABOUT TECHNOLOGY,,,
FLOWERS IN THE ATTIC,V. C. ANDREWS,,MYSTERY/THRILLER,4/21/18,4/21/18,,THE GOLEM: WHAT YOU SHOULD KNOW ABOUT SCIENCE,,,
THE THOUSAND DOLLAR TAN LINE,VERONICA MARS,,MYSTERY/THRILLER,10/31/19,12/7/19,,"COMPUTER CULTURE: THE SCIENTIFIC, INTELLECTUAL, AND SOCIAL IMPACT OF THE COMPUTER",,,
MEMORIAL DAY,VINCE FLYNN,,MYSTERY/THRILLER,10/31/19,,,HEAVY DRINKING,,,
MEMORIAL DAY,VINCE FLYNN,,MYSTERY/THRILLER,2/10/18,2/10/18,,C++ NUTS & BOLTS FOR EXPERIENCE PROGRAMMERS,,,
ORDER TO KILL,VINCE FLYNN,,MYSTERY/THRILLER,11/9/19,11/9/19,,AN INTRODUCTION TO THE HISTORY OF MATHEMATICS,,,
PROTECT AND DEFEND,VINCE FLYNN,,MYSTERY/THRILLER,2/10/18,4/21/18,,THE 10 NATURAL LAWS OF SUCCESSFUL TIME AND LIFE MANAGEMENT,,,
THE THIRD OPTION,VINCE FLYNN,,MYSTERY/THRILLER,11/9/19,11/9/19,,THE UNIVERSE,,,
THE THIRD OPTION,VINCE FLYNN,,MYSTERY/THRILLER,12/7/19,1/25/20,,RIDDLES OF SCIENCE,,,
SUSPENDED ANIMATION,W. E. DAVIS,,MYSTERY/THRILLER,11/9/16,12/2/17,,SCIENCE AND HUMAN VALUES,,,
THE SHACK,W. M. PAUL YOUNG,,MYSTERY/THRILLER,12/7/19,,,THE WEB WIZARD'S GUIDE TO WEB DESIGN,,,
MONSTER,WALTER DEAN MYERS,,MYSTERY/THRILLER,2/10/18,2/10/18,,THE STUDENT LEADERSHIP CHALLENGE,,,
BLACK BETTY,WALTER MOSLEY,,MYSTERY/THRILLER,9/8/15,9/19/15,,DATA MINING WITH SQL SERVER 2008,,,
PLAYING FOR THRILLS,WANG SHOU,,MYSTERY/THRILLER,10/31/19,,,SPRING INTO LINUX,,,
REVOLUTION SUNDAY,WENDY GUERRA,,MYSTERY/THRILLER,2/13/19,2/13/19,,COMPUTER NETWORKING: INTERNET PROTOCOLS IN ACTION,,,
IMPROBABLE,ADAM FAWER,,MYSTERY/THRILLER ,10/13/18,12/8/18,,CLR VIA C#,,,
ENDGAME,AHMET ALTAN,,MYSTERY/THRILLER ,10/14/17,2/13/19,,IT'S RAINING FROGS AND FISHES,,,
BEHIND CLOSED DOORS,B. A. PARIS,,MYSTERY/THRILLER ,10/13/18,,,LEARNING THE UNIX OPERATING SYSTEM,,,
BEHIND CLOSED DOORS,B. A. PARIS,,MYSTERY/THRILLER ,10/14/17,12/8/18,,PROGRAMMING C# 3.0,,,
SECRET PASSION,CAROL MORTIMER,,MYSTERY/THRILLER ,10/14/17,,,LINUX IN A NUTSHELL,,,
NUMBERED ACCOUNT,CHRISTOPHER REICH,,MYSTERY/THRILLER ,10/13/18,12/8/18,,BEYOND THE MISSION STATEMENT,,,
SPLIT SECOND,DAVID BALDACCI,,MYSTERY/THRILLER ,9/15/18,,,"IOS PROGRAMMING: THE BIG NERD RANCH GUIDE, 2ND EDITION",,,
SNOW FALLING OF CEDARS,DAVID GUTERSON,,MYSTERY/THRILLER ,4/21/18,12/8/18,,THE WEB OF LIFE,,,
AMERICAN BY DAY,DEREK B. MILLER,,MYSTERY/THRILLER ,9/15/18,,,CHEMISTRY FOR CHANGING TIMES,,,
FOXLOWE,ELEANOR WASSERBERG,,MYSTERY/THRILLER ,9/9/17,2/13/19,,BASIC ORGANIC CHEMISTRY,,,
STARFISH THE ARBITRARY OCEAN,ELIZABETH COOKE,,MYSTERY/THRILLER ,10/14/17,4/20/19,,INTRODUCTION TO BIOCHEMISTRY,,,
PAYMENT IN BLOOD,ELIZABETH GEORGE,,MYSTERY/THRILLER ,10/14/17,,,BOUNDARIES OF THE SOUL,,,
THE WESTING GAME,ELLEN RASKIN,,MYSTERY/THRILLER ,4/21/18,4/20/19,,APPROPRIATE TECHNOLOGY SOURCEBOOK,,,
"THE SECRET, BOOK & SCONE SOCIETY",ELLERY ADAMS,,MYSTERY/THRILLER ,2/10/18,12/8/18,,THE ELEMENTS OF PROGRAMMING STYLE,,,
FLOATING CITY,ERIC LUSTBADER,,MYSTERY/THRILLER ,10/13/18,12/8/18,,VALUES AND THE FUTURE: THE IMPACT OF TECHNOLOGICAL CHANGE OF AMERICAN VALUES,,,
WHITE TEARS,HARI KUNZRU,,MYSTERY/THRILLER ,10/14/17,4/20/19,,COMPUTER SCIENCE: A MODERN INTRODUCTION,,,
JOURNEY,JAMES A. MICHENER,,MYSTERY/THRILLER ,10/14/17,12/8/18,,THE LIVES OF A CELL: NOTES OF A BIOLOGY WATCHER,,,
CROSS,JAMES PATTERSON,,MYSTERY/THRILLER ,10/13/18,,,INTRODUCTION TO COLLEGE MATHEMATICS,,,
CROSS-CHICK AN ANNA PETERS MYSTERY,JANICE LAW,,MYSTERY/THRILLER ,10/14/17,,,HOW EVERYDAY MATERIALS WORK,,,
THE TROUBLE WITH GOATS AND SHEEP,JOANNA CANNON,,MYSTERY/THRILLER ,10/14/17,,,ARCHAEOLOGY,,,
NINETEEN MINUTES,JODI PICOULT,,MYSTERY/THRILLER ,12/2/17,12/8/18,,MAC OS X FOR DUMMIES,,,
THE MYSTERY OF THE HOODED HORSEMAN,JOHN BEEBEE,,MYSTERY/THRILLER ,11/9/16,,,THE BEST AMERICAN SCIENCE AND NATURE WRITING,,,
THE OVERSEER,JONATHAN RABB,,MYSTERY/THRILLER ,10/14/17,2/13/19,,THE COSMIC PERSPECTIVE,,,
BLACK MAD WHEEL,JOSH MALERMAN,,MYSTERY/THRILLER ,10/13/18,,,"THE NUMBERS GAME: THE COMMONSENSE GUIDE TO UNDERSTANDING NUMBERS IN THE NEWS, IN POLITICS, AND IN LIFE",,,
BLACK MAD WHEEL,JOSH MALERMAN,,MYSTERY/THRILLER ,10/14/17,,,HUMAN: THE SCIENCE BEHIND WHAT MAKES YOUR BRAIN UNIQUE,,,
BONES NEVER LIE,KATHY REICHS,,MYSTERY/THRILLER ,9/15/18,2/10/18,,LINUX,,,
RUNNING FROM THE LAW,LISA SCOTTOLINE,,MYSTERY/THRILLER ,10/14/17,,,RED HAT LINUX SECURITY AND OPTIMIZATION,,,
RUNNING OUT OF TIME,MARGARET PETERSON HADDIX,,MYSTERY/THRILLER ,10/14/17,,,SPICE FOR CIRCUITS AND ELECTRONICS USING PSPICE,,,
THE GODFATHER,MARIO PUZO,,MYSTERY/THRILLER ,10/13/18,12/8/18,,CALCULUS,,,
DADDY'S GONE A HUNTING,MARY HIGGINS CLARK,,MYSTERY/THRILLER ,12/2/17,12/8/18,,ELECTRONIC CIRCUITS,,,
WHERE ARE YOU NOW?,MARY HIGGINS CLARK,,MYSTERY/THRILLER ,10/13/18,2/13/19,,EXISTANCE,,,
BAD MONKEYS,MATT RUFF,,MYSTERY/THRILLER ,10/13/18,2/13/19,,GED SCIENCE,,,
THE KEEPERS OF TRUTH,MICHAEL COLLINS,,MYSTERY/THRILLER ,10/13/18,12/8/18,,MATH FOR COMPUTER APPLICATIONS: QUICK ACCESS TO THE IMPORTANT FACTS AND CONCEPTS,,,
JURASSIC PARK,MICHAEL CRICHTON,,MYSTERY/THRILLER ,12/2/17,12/8/18,,MATH SHORTCUT,,,
THE MARRIAGE PACT,MICHELLE RICHMOND,,MYSTERY/THRILLER ,10/14/17,2/13/19,,STONY BROOK MATH,,,
THE OBSESSION,NORA ROBERTS,,MYSTERY/THRILLER ,9/15/18,2/13/19,,TECHNOLOGY AND THE CLOUD,,,
THE GIRL ON THE TRAIN,PAULA HAWKINS,,MYSTERY/THRILLER ,2/13/19,2/13/19,,TECHNOLOGY SPEAKING,,,
"GONE, BUT NOT FORGOTTEN",PHILLIP MARGOLIN,,MYSTERY/THRILLER ,12/2/17,,,THE HOME PRO GUIDE TO ELECTRICAL INSTALLATION AND REPAIR,,,
SEIZURE,ROBIN COOK,,MYSTERY/THRILLER ,9/15/18,2/13/19,,THE LAND AND WILDLIFE OF AFRICA,,,
MASTER OF THE GAME,SIDNEY SHELDON,,MYSTERY/THRILLER ,12/2/17,12/8/18,,"THE NEW OUR BODIES, OURSELVES",,,
THE GREEN MILE,STEPHEN KING,,MYSTERY/THRILLER ,10/14/17,,,BEING DIGITAL,,,
THE GREEN MILE,STEPHEN KING,,MYSTERY/THRILLER ,10/14/17,,,NATURAL DISASTERS,,,
THE GREEN MILE,STEPHEN KING,,MYSTERY/THRILLER ,10/14/17,,,THE WEB DESIGNER'S IDEA BOOK,,,
THE GREEN MILE,STEPHEN KING,,MYSTERY/THRILLER ,10/14/17,,,"THE WEB DESIGNER'S IDEA BOOK VOLUME 2 MORE OF THE BEST THEMES, TRENDS, AND STYLES IN WEB DESIGN",,,
THE RULE OF NINE,STEVE MARTINI,,MYSTERY/THRILLER ,2/9/19,2/13/19,,INTRODUCTION TO NUMERICAL METHODS,,,
SO SAY THE FALLEN,STUART NEVILLE,,MYSTERY/THRILLER ,10/13/18,12/8/18,,TEACH YOURSELF C IN 21 DAYS,,,
SO SAY THE FALLEN,STUART NEVILLE,,MYSTERY/THRILLER ,10/14/17,9/15/18,,"OUT OF THIN AIR - DINOSAURS, BIRDS, AND EARTH'S ANCIENT ATMOSPHERE",,,
SKINWALKERS,TONY HILLERMAN,,MYSTERY/THRILLER ,10/13/18,12/8/18,,THE SEARCH FOR ORGANIC REACTION PATHWAYS,,,
SKINWALKERS,TONY HILLERMAN,,MYSTERY/THRILLER ,4/3/16,9/15/18,,JAVASCRIPT,,,
MIDNIGHT WHISPERS,V. C. ANDREWS,,MYSTERY/THRILLER ,12/2/17,2/13/19,,TURNING POINTS IN PHYSICS,,,
RAIN,V. C. ANDREWS,,MYSTERY/THRILLER ,12/2/17,3/30/19,,ANALYSIS OF ENGINEERING CYCLES,,,
TWILIGHT'S CHILD,V. C. ANDREWS,,MYSTERY/THRILLER ,12/2/17,2/13/19,,DIFFERENTIAL EQUATIONS,,,
THE VICTORIAN DETECTIVE NOVELS,VARIOUS,,MYSTERY/THRILLER ,12/2/17,,,THE SELFISH GENE,,,
NOCTURNE,ADAM RAPP,,PLAY/SCRIPT,10/13/18,10/13/18,,THE NYT BOOK OF SCIENCE LITERACY: WHAT EVERYONE NEEDS TO KNOW FROM NEWTON TO THE KNUCKLEBALL,,,
"THE ORESTEIA, AGAMEMNON, THE LIBATION BEARERS, THE EUMENIDES, PROTEUS",AESCHYLUS,,PLAY/SCRIPT,4/21/18,2/13/19,,INSATIABLE APPETITE: THE UNITED STATES AND THE ECOLOGICAL DEGRADATION OF THE TROPICAL WORLD,,,
NOTES FROM THE FIELD,ANNA DEAVERE SMITH,,PLAY/SCRIPT,9/14/19,,,THE HUMAN FACTOR: DESIGNING COMPUTER SYSTEMS FOR PEOPLE,,,
MAN AND SUPERMAN,BERNARD SHAW,,PLAY/SCRIPT,11/9/16,,,CRIMINALISTICS: AN INTRODUCTION TO FORENSIC SCIENCE,,,
GALILEO,BERTOLT BRECHT,,PLAY/SCRIPT,10/13/18,8/24/19,,THE WILD LIFE OF OUR BODIES,,,
GALILEO,BERTOLT BRECHT,,PLAY/SCRIPT,10/14/17,9/15/18,,WINTERGREEN: LISTENING TO LAND'S HEART,,,
OLEANNA,DAVID MAMET,,PLAY/SCRIPT,12/2/17,,,THE SECOND CREATION,,,
OLEANNA,DAVID MAMET,,PLAY/SCRIPT,2/9/19,,,GATHERING MOSS: A NATURAL AND CULTURAL HISTORY OF MOSSES,,,
"RAPTURE, BLISTER, BURN",GINA GIONFRIDDO,,PLAY/SCRIPT,2/9/19,,,ORGANIC REACTION MECHANISMS,,,
WILLIAM SHAKESPEARE'S MUCH ADO ABOUT MEAN GIRLS,IAN DOESCHER,,PLAY/SCRIPT,9/14/19,,,PRINCIPLES OF CHEMISTRY WITH PRACTICAL PERSPECTIVES,,,
MODERN IRISH DRAMA,JOHN P. HARRINGTON,,PLAY/SCRIPT,10/14/17,12/2/17,,C: A REFERENCE MANUAL,,,
LOBBY HERO,KENNETH LONERGAN,,PLAY/SCRIPT,2/9/19,,,SEX IN PSYCHO-ANALYSIS/THE DEVELOPMENT OF PSYCHOANALYSIS,,,
DUTCHMAN AND THE SLAVE,LEROI JONES,,PLAY/SCRIPT,2/9/19,,,LIVING DOWNSTREAM,,,
DUTCHMAN AND THE SLAVE,LEROI JONES,,PLAY/SCRIPT,2/9/19,8/24/19,,C++ TECHNIQUES AND APPLICATIONS,,,
STICK FLY,LYDIA R. DIAMOND,,PLAY/SCRIPT,2/9/19,,,LEARN JAVA NOW,,,
THE SHADOW BOX,MICHAEL CRISTOFER,,PLAY/SCRIPT,2/9/19,,,QUANTIFYING ARCHAEOLOGY,,,
GHOST ON FIRE,MICHAEL WELLER,,PLAY/SCRIPT,2/9/19,8/24/19,,CODE COMPLETE,,,
GREEK DRAMA,MOSES HADAS,,PLAY/SCRIPT,10/14/17,,,PHILOSOPHY OF MIND,,,
GREEK DRAMA,MOSES HADAS,,PLAY/SCRIPT,10/14/17,10/14/17,,THE HEALING OF AMERICA,,,
EQUUS,PETER SHAFFER,,PLAY/SCRIPT,10/14/17,,,TECHNOLOGY AND CULTURE FROM THE RENAISSANCE TO THE PRESENT,,,
EQUUS,PETER SHAFFER,,PLAY/SCRIPT,10/14/17,2/10/18,,THE TROUBLE WITH COMPUTERS,,,
EQUUS,PETER SHAFFER,,PLAY/SCRIPT,9/15/18,9/14/19,,DARWIN'S DREAMPOND: DRAMA IN LAKE VICTORIA,,,
A MAN FOR ALL SEASONS,ROBERT BOLT,,PLAY/SCRIPT,10/14/17,4/20/19,,"YOU ARE ONE-THIRD DAFFODIL AND OTHER FACTS TO AMAZE, AMUSE, AND ASTOUND",,,
GEORGE ORWELL'S 1984,"ROBERT OWENS, WILTON E. HALL, WILLIAM A. MILES",,PLAY/SCRIPT,10/14/17,2/10/18,,ANALOG: SCIENCE FICTION AND FACT,,,
A LIE OF THE MIND,SAM SHEPARD,,PLAY/SCRIPT,2/10/18,2/10/18,,COLLEGE PHYSICS: A STRATEGIC APPROACH,,,
A LIE OF THE MIND,SAM SHEPARD,,PLAY/SCRIPT,2/9/19,,,HTML & XHTML: THE DEFINITIVE GUIDE,,,
WAITING FOR GODOT,SAMUEL BECKETT,,PLAY/SCRIPT,10/14/17,2/10/18,,INTRODUCTION TO CHEMICAL PRINCIPLES,,,
WAITING FOR GODOT,SAMUEL BECKETT,,PLAY/SCRIPT,10/31/19,,,SCIENCE AGAINST MAN,,,
THE MEMORY OF WATER,SHELAGH STEPHENSON,,PLAY/SCRIPT,2/10/18,2/10/18,,THE MIND OF MAN: A HISTORY OF PSYCHOTHERAPY AND PSYCHOANALYSIS,,,
"ANTIGONE, OEDIPUS THE KING, OEDIPUS AT COLONUS",SOPHOCLES,,PLAY/SCRIPT,4/21/18,2/13/19,,BASIC CONCEPTS OF GEOMETRY,,,
THE OEDIPUS CYCLE,SOPHOCLES,,PLAY/SCRIPT,2/23/19,12/7/19,,ADVANCE CALCULUS: AN INTRODUCTION TO ANALYSIS,,,
HOOTERS,TED TALLY,,PLAY/SCRIPT,12/7/19,,,PROBABILITY AND STATISTICS,,,
HOOTERS,TED TALLY,,PLAY/SCRIPT,2/9/19,,,MIRACLE CURE: THE CREATION OF ANTIBIOTICS AND THE BIRTH OF MODERN MEDICINE,,,
A STREETCAR NAMED DESIRE,TENNESSEE WILLIAMS,,PLAY/SCRIPT,4/3/16,4/23/16,,MGMT,,,
AS YOU LIKE IT,WILLIAM SHAKESPEARE,,PLAY/SCRIPT,11/9/19,1/25/20,,101 PASSAGE IN MCAT,,,
AS YOU LIKE IT,WILLIAM SHAKESPEARE,,PLAY/SCRIPT,2/9/19,2/13/19,,PUBLIC SPEAKING STRATEGIES FOR SUCCESS,,,
HAMLET,WILLIAM SHAKESPEARE,,PLAY/SCRIPT,2/13/19,2/13/19,,READING CULTURE -CONTEXTS FOR CRITICAL READING AND WRITING,,,
JULIUS CAESAR,WILLIAM SHAKESPEARE,,PLAY/SCRIPT,2/10/18,2/10/18,,CLIFFS: U.S. CITIZENSHIP TEST,,,
KING LEAR,WILLIAM SHAKESPEARE,,PLAY/SCRIPT,10/14/17,2/13/19,,AP U.S. HISTORY CRASH COURSE,,,
THE MERCHANT OF VENICE,WILLIAM SHAKESPEARE,,PLAY/SCRIPT,10/14/17,9/15/18,,"1,014 PRACTICE QUESTIONS FOR THE NEW GRE",,,
THE MERCHANT OF VENICE,WILLIAM SHAKESPEARE,,PLAY/SCRIPT,2/23/19,1/25/20,,11 PRACTICE TESTS FOR THE SAT AND PSAT 2010 EDITION,,,
THE PORTABLE SHAKESPEARE,WILLIAM SHAKESPEARE,,PLAY/SCRIPT,11/7/15,3/4/17,,CRACKING THE GRE,,,
THE PORTABLE SHAKESPEARE,WILLIAM SHAKESPEARE,,PLAY/SCRIPT,4/2/15,9/19/15,,ESSENTIAL GED,,,
MACBETH AND OF CIVIL GOVERNMENT,"WILLIAM SHAKESPEARE, JOHN LOCKE",,PLAY/SCRIPT,9/15/18,9/15/18,,GED READING,,,
SELECTED POEMS AND FOUR PLAYS,WILLIAM YEATS,,PLAY/SCRIPT,10/31/15,9/17/16,,GED TEST,,,
SHORT,ALAN ZIEGLER,,POETRY,11/9/16,4/22/17,,GED WRITING,,,
"BUDDHA, THE BEACON OF LIGHT FOR THE TROUBLED WORLD",AMOLAK SEHGAL,,POETRY,4/3/16,2/10/18,,MCGRAW-HILL'S GED,,,
THE PREMIER BOOK OF MAJOR POETS: AN ANTHOLOGY,ANITA DORE,,POETRY,11/9/16,4/22/17,,MPT WORKBOOK: BARBRI BAR REVIEW,,,
PLAINWATER ESSAYS AND POETRY,ANNE CARSON,,POETRY,11/9/16,4/21/18,,MULTIPLE-CHOICE & FREE-RESPONSE QUESTIONS IN PREPARATION FOR THE AP CALCULUS (AB) EXAMINATION,,,
A WOMAN AND HER GOD,BETH MOORE,,POETRY,4/3/16,11/1/16,,U.S. CITIZENSHIP TEST,,,
AN INTRODUCTION TO THE PROSE POEM,"BRIAN CLEMENTS, JAMEY DUNHAM",,POETRY,11/9/16,12/2/17,,VOCABU-LIT: BUILDING VOCABULARY THROUGH LITERATURE,,,
POETRY,"D. H. TRACE, HESTER KNIBBE, ELEANOR TAYLOR",,POETRY,11/9/16,12/2/17,,STAND INTO DANGER,,,
BUDDHISM: A VERY SHORT INTRODUCTION,DAMIEN KEOWN,,POETRY,4/3/16,9/17/16,,THE FLAG CAPTAIN,,,
GOD AND THE BIG BANG,DANIEL C. MATT,,POETRY,4/3/16,11/1/16,,THE INSHORE SQUADRON,,,
POEMS AND ESSAYS OF POETRY,EDGAR ALLEN POE,,POETRY,10/31/15,11/7/15,,"WORLD, CHASE ME DOWN",,,
SPOON RIVER ANTHOLOGY,EDGAR LEE MASTERS,,POETRY,3/30/19,3/30/19,,DESDE LOS ORIGENES HASTA 1700,,,
WINDOW BOXES FULL OF SNOW,FRANK ROBINSON,,POETRY,3/31/17,9/15/18,,MY DAUGHTER'S EYES AND OTHER STORIES,,,
POEMS,GEORGE SEFERIS,,POETRY,11/9/16,4/22/17,,RANDOM WINDS,,,
NEW YORK POEMS,HOWARD MOSS,,POETRY,4/2/15,11/7/15,,TAPESTRY,,,
SHORT SHORTS,"IRVING HOWE, ILANA WIENER HOWE",,POETRY,11/9/16,4/22/17,,SHARPE'S COMPANY,,,
QUARRY,JOANNA RAWSON,,POETRY,12/11/14,4/22/17,,FLYING COLORS,,,
THE SELECTED POETRY OF KEATS,JOHN KEATS,,POETRY,10/31/15,12/6/15,,THE DISTANT MARVELS,,,
JULIET THE MANIAC,JULIET ESCORIA,,POETRY,9/14/19,11/9/19,,THIRTEEN MOONS,,,
JULIET THE MANIAC,JULIET ESCORIA,,POETRY,9/14/19,12/7/19,,FIRE ICE,,,
A LIGHT SONG OF LIGHT,KEI MILLER,,POETRY,9/14/19,,,PACIFIC VORTEX,,,
THE POET'S COMPANION A GUIDE TO THE PLEASURES OF WRITING POETRY,"KIM ADDONIZIO, DORIANNE LAUX",,POETRY,11/9/16,4/22/17,,SAHARA,,,
THE RING SCAR,LOREN GRAHAM,,POETRY,10/31/15,12/6/15,,SERPENT,,,
TALK POETRY,MAIREAD BYRNE,,POETRY,10/31/15,12/6/15,,THE MEDITERRANEAN CAPER,,,
MIND PLATTER,NAJWA ZEBIAN,,POETRY,9/14/19,9/14/19,,THE SEA HUNTERS,,,
ONE LAST WORD,NIKKI GRIMES,,POETRY,10/14/17,9/15/18,,TREASURE,,,
POET'S CHOICE,"PAUL ENGLE, JOSEPH LANGLAND",,POETRY,11/9/16,12/2/17,,TREASURE OF KHAN,,,
250 POEMS: A PORTABLE ANTHOLOGY,"PETER SCHAKEL, JACK RIDL",,POETRY,3/4/17,4/22/17,,VISTAS DEL MUNDO HISPANICO,,,
YOUNG OF THE YEAR,SYDNEY LEA,,POETRY,10/31/15,10/22/16,,EMERALD DECISION,,,
AMERICAN POET,VARIOUS,,POETRY,4/3/16,10/13/18,,BALZAC AND THE LITTLE CHINESE SEAMSTRESS,,,
LOVE POEMS,VARIOUS,DAVID STANFORD BURR,POETRY,4/3/16,11/1/16,,ARIZONA!,,,
RATTLE: POETRY FOR THE 21ST CENTURY,VARIOUS,,POETRY,4/3/16,4/23/16,,CALIFORNIA!,,,
THE POETS OF NEW ENGLAND,VARIOUS,,POETRY,11/9/19,11/9/19,,DAKOTA!,,,
PALE FIRE,VLADIMIR NABOKOV,,POETRY,10/31/15,2/13/16,,IDAHO!,,,
THE BOOK OF FABLES,W. S. MERWIN,,POETRY,11/9/16,2/10/18,,LOUISIANA!,,,
BROWNING SELECTED POEMS CROFT CLASSICS,WILLIAM C. DE VANE,,POETRY,10/31/15,4/21/18,,MISSISSIPPI!,,,
